Database,Material,Subtype,kgCO2e/kg,Comments,density,wastage,densityAssumption,wasteReference,Latest
EPiC 2019 (AUS),Carpet,"Tufted carpet, wool - quality",9.2642,None,530,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Carpet,Wool carpet,7.7358,None,530,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Carpet,"Woven carpet, nylon - average",4.5094,None,530,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Carpet,"Woven carpet, nylon - quality",7.0857,None,350,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Other,Silicone,13.8,None,0.96,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Other,Solar hot water system,1863,None,None,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Other,Water,0.001,None,1000,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Other,Wood glue (PVA),5.4,None,1191,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Paint,Solvent-based paint,6.3,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Paint,Water-based paint,6.8,None,1250,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Paper,Wallpaper,16,None,920,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Rubber,Natural rubber,2.5,None,1100,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Rubber,Synthetic rubber,3.7,None,1100,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),HDPE film - 100 ?m,6.383,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),HDPE film - 200 ?m,6.383,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),"HDPE pipe - 32 mm inner dia., 1.88 mm thickness",3.0499,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),"HDPE pipe - 63 mm inner dia., 3.75 mm thickness",3.0481,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),"HDPE pipe - 125 mm inner dia., 7.35 mm thickness",3.0545,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),"HDPE pipe - 250 mm inner dia., 14.71 mm thickness",3.033,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),"HDPE pipe - 500 mm inner dia., 29.41 mm thickness",3.0339,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),"HDPE pipe - 800 mm inner dia., 47.06 mm thickness",0.6947,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),High-density polyethylene (HDPE) film,6.4,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),High density polyethylene (HDPE),High-density polyethylene (HDPE) pipe,5.6,None,940,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Low density polyethylene (LDPE),LDPE film - 100 ?m,6.3736,None,910,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Low density polyethylene (LDPE),LDPE film - 200 ?m,6.5934,None,910,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Low density polyethylene (LDPE),"LDPE pipe - 13 mm inner dia., 3.95 mm thickness",4.9904,None,910,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Low density polyethylene (LDPE),"LDPE pipe - 19 mm inner dia., 4.4 mm thickness",4.3561,None,910,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Low density polyethylene (LDPE),"LDPE pipe - 25 mm inner dia., 5.2 mm thickness",4.0768,None,910,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Low density polyethylene (LDPE),"LDPE pipe - 32 mm inner dia., 6.7 mm thickness",4.1271,None,910,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Low density polyethylene (LDPE),Low-density polyethylene (LDPE) film,6.4,None,910,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Low density polyethylene (LDPE),Low-density polyethylene (LDPE) pipe,6,None,910,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Nylon,Nylon 66,22.2,None,1140,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Nylon,Nylon 66 sheet - 1.5 mm,22.1637,None,1140,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Nylon,Nylon 66 sheet - 3 mm,22.1637,None,1140,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Nylon,Nylon 66 sheet - 5 mm,22.1053,None,1140,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,ABS panel - 2mm,16028.0374,None,1.07,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,ABS panel - 3mm,16012.4611,None,1.07,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,"ABS pipe - 21.4 mm outer dia., 2.1 mm thick",16147.7652,None,1.07,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,"ABS pipe - 48.3 mm outer dia., 3.6 mm thick",16083.3154,None,1.07,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,"ABS pipe - 168.3 mm outer dia., 7.7 mm thick",16021.542,None,1.07,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Acrylonitrile butadiene styrene (ABS),16,None,1.07,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,ETFE film - 25.4 ?m (0.001”),475.7441,None,1700,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,ETFE film - 50.8 ?m (0.002”),468.9671,None,1700,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,ETFE film - 127 ?m (0.005”),467.8092,None,1700,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Ethylene tetrafluoroethylene (ETFE),798,None,1700,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Glass reinforced plastic (GRP),18.8,None,1350,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,GRP panel - 10 mm,18.8148,None,1350,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,GRP panel - 20 mm,18.8519,None,1350,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,GRP panel - 50 mm,18.8296,None,1350,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Linoleum,4.4,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Linoleum sheet - 2 mm,4.4167,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Linoleum sheet - 2.5 mm,4.4333,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Linoleum sheet - 3.2 mm,4.4271,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Linoleum sheet - 4 mm,4.4167,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Polycarbonate,14,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Polycarbonate roofing sheet - 1 mm,13.9167,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Polycarbonate roofing sheet - 2 mm,13.9583,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Polycarbonate roofing sheet - 3 mm,13.9444,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Polycarbonate roofing sheet - 6 mm,13.8889,None,1200,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,Polymethyl methacrylate (PMMA),15.4,None,1190,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,PMMA sheet - 3 mm,15.3782,None,1190,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,PMMA sheet - 4 mm,15.3782,None,1190,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,PMMA sheet - 5 mm,15.3613,None,1190,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,PMMA sheet - 6 mm,15.4062,None,1190,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,PMMA sheet - 8 mm,15.3361,None,1190,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Plastics,PMMA sheet - 10 mm,15.3782,None,1190,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polypropylene,Polypropylene (PP) sheet,7.4,None,900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polypropylene,PP sheet - 2 mm,7.4444,None,900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polypropylene,PP sheet - 3 mm,7.4074,None,900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polypropylene,PP sheet - 4 mm,7.4167,None,900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polypropylene,PP sheet - 6 mm,7.4259,None,900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polypropylene,PP sheet - 10 mm,7.4222,None,900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polypropylene,PP sheet - 12 mm,7.4259,None,900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polypropylene,PP sheet - 15 mm,7.4074,None,900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polyurethane,Polyurethane (PU) flexible foam,7.7,None,69,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polyurethane,"PU foam underlay - 7 mm, 64 kg/m³",7.5893,None,64,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polyurethane,"PU foam underlay - 7 mm, 69 kg/m³",7.6605,None,69,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polyurethane,"PU foam underlay - 10 mm, 73 kg/m³",7.6712,None,73,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Polyurethane,"PU foam underlay - 10 mm, 123 kg/m³",7.6423,None,123,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),PVC,Polyvinyl chloride (PVC) film,11.2,None,1390,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),PVC,PVC film - 19 ?m,11.3593,None,1390,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),PVC,PVC film - 25 ?m,11.223,None,1390,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),PVC,Unplasticised polyvinyl chloride (uPVC),4.2,None,1390,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),PVC,"uPVC pipe - 21.35 mm outer dia., 1.8 mm thick",4.1648,None,1390,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),PVC,"uPVC pipe - 60.25 mm outer dia., 2.6 mm thick",4.125,None,1390,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),PVC,"uPVC pipe - 114.3 mm outer dia., 4.85 mm thick",4.1846,None,1390,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),PVC,"uPVC pipe - 225.3 mm outer dia., 11.1 mm thick",4.1608,None,1390,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),"Sand, stone, ceramics",Clay brick,0.32,None,2403,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),"Sand, stone, ceramics",Gravel,0.036,None,1840,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),"Sand, stone, ceramics",Recycled aggregate,0.008,None,1320,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),"Sand, stone, ceramics",Sand,0.024,None,1500,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),"Sand, stone, ceramics",Sanitary ceramic,6.4,None,2700,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),"Sand, stone, ceramics",Dimension stone,1.3,None,2243,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),"Sand, stone, ceramics",Ceramic tile,1.3,None,2900,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),"Sand, stone, ceramics",Clay roof tile,0.61,None,1860,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Cork slab,9.5,None,120,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Cork slab - 6 mm,9.4444,None,120,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Cork slab - 10 mm,9.5,None,120,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Cork slab - 12 mm,9.4444,None,120,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Cork slab - 20 mm,9.4583,None,120,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Cork slab - 50 mm,9.4667,None,120,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Hardwood,1.3111,None,720,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Hardwood kiln-dried - dressed,3.1514,None,720,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Hardwood kiln-dried - structural,1.6361,None,720,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,CLT - 60 mm,0.079,None,490,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,CLT - 105 mm,0.1382,None,490,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,CLT - 175 mm,0.2306,None,490,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Cross laminated timber (CLT),1.3163,None,490,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Glued laminated timber (glulam),3.9953,None,430,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Glulam outdoor,3.7326,None,430,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Laminated veneer lumber (LVL),2.0765,None,510,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,MDF sheet,1.3143,None,684,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Melamine-coated MDF board - 16 mm,1.7087,None,684,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Melamine-coated MDF board - 18 mm,1.73,None,684,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Melamine-coated MDF board - 25 mm,1.7836,None,684,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,OSB sheet,1.2372,None,607,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Particleboard,1.0235,None,680,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Particleboard outdoor,1.1956,None,680,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Plywood,5.888,None,625,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Plywood outdoor,2.8432,None,625,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,SIP - 142 mm,8.6635,None,139,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,SIP - 162 mm,8.6597,None,139,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Structural insulated panel (SIP),9.7122,None,139,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Softwood,1.0765,None,510,0,Value from EPiC data,None,TRUE
EPiC 2019 (AUS),Timber,Softwood kiln-dried,1.1431,None,510,0,Value from EPiC data,None,TRUE
